,Unnamed: 0,event,cosmo,url,filename,catalog
0,0,GW150914,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
1,1,GW151012,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
2,2,GW151012,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
3,3,GW151012,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
4,4,GW151226,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
5,5,GW151226,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
6,6,GW170104,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
7,7,GW170104,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
8,8,GW170608,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
9,9,GW170608,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
10,10,GW170729,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
11,11,GW170729,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
12,12,GW170809,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
13,13,GW170809,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
14,14,GW170814,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
15,15,GW170814,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
16,16,GW170818,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
17,17,GW170818,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
18,18,GW170823,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
19,19,GW170823,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
20,20,GW190403_051519,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
21,21,GW190403_051519,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
22,22,GW190408_181802,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
23,23,GW190408_181802,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
24,24,GW190412,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
25,25,GW190412,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
26,26,GW190413_052954,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
27,27,GW190413_052954,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
28,28,GW190413_134308,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
29,29,GW190413_134308,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
