,event,catalog,url,filename,cosmo
0,GW150914,GWTC-1,https://dcc.ligo.org/public/0158/P1900011/001/GWTC1_GW150914_PSDs.dat,GWTC1_GW150914_PSDs.dat,
1,GW151012,GWTC-1,https://dcc.ligo.org/public/0158/P1900011/001/GWTC1_GW151012_PSDs.dat,GWTC1_GW151012_PSDs.dat,
2,GW151226,GWTC-1,https://dcc.ligo.org/public/0158/P1900011/001/GWTC1_GW151226_PSDs.dat,GWTC1_GW151226_PSDs.dat,
3,GW170104,GWTC-1,https://dcc.ligo.org/public/0158/P1900011/001/GWTC1_GW170104_PSDs.dat,GWTC1_GW170104_PSDs.dat,
4,GW170608,GWTC-1,https://dcc.ligo.org/public/0158/P1900011/001/GWTC1_GW170608_PSDs.dat,GWTC1_GW170608_PSDs.dat,
5,GW170729,GWTC-1,https://dcc.ligo.org/public/0158/P1900011/001/GWTC1_GW170729_PSDs.dat,GWTC1_GW170729_PSDs.dat,
6,GW170809,GWTC-1,https://dcc.ligo.org/public/0158/P1900011/001/GWTC1_GW170809_PSDs.dat,GWTC1_GW170809_PSDs.dat,
7,GW170814,GWTC-1,https://dcc.ligo.org/public/0158/P1900011/001/GWTC1_GW170814_PSDs.dat,GWTC1_GW170814_PSDs.dat,
8,GW170817,GWTC-1,https://dcc.ligo.org/public/0158/P1900011/001/GWTC1_GW170817_PSDs.dat,GWTC1_GW170817_PSDs.dat,
9,GW170818,GWTC-1,https://dcc.ligo.org/public/0158/P1900011/001/GWTC1_GW170818_PSDs.dat,GWTC1_GW170818_PSDs.dat,
10,GW170823,GWTC-1,https://dcc.ligo.org/public/0158/P1900011/001/GWTC1_GW170823_PSDs.dat,GWTC1_GW170823_PSDs.dat,
11,GW190408_181802,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190408_181802.tar,GW190408_181802.tar,
12,GW190412,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190412.tar,GW190412.tar,
13,GW190413_052954,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190413_052954.tar,GW190413_052954.tar,
14,GW190413_134308,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190413_134308.tar,GW190413_134308.tar,
15,GW190421_213856,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190421_213856.tar,GW190421_213856.tar,
16,GW190425,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190425.tar,GW190425.tar,
17,GW190503_185404,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190503_185404.tar,GW190503_185404.tar,
18,GW190512_180714,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190512_180714.tar,GW190512_180714.tar,
19,GW190513_205428,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190513_205428.tar,GW190513_205428.tar,
20,GW190514_065416,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190514_065416.tar,GW190514_065416.tar,
21,GW190517_055101,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190517_055101.tar,GW190517_055101.tar,
22,GW190519_153544,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190519_153544.tar,GW190519_153544.tar,
23,GW190521,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190521.tar,GW190521.tar,
24,GW190521_074359,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190521_074359.tar,GW190521_074359.tar,
25,GW190527_092055,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190527_092055.tar,GW190527_092055.tar,
26,GW190602_175927,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190602_175927.tar,GW190602_175927.tar,
27,GW190620_030421,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190620_030421.tar,GW190620_030421.tar,
28,GW190630_185205,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190630_185205.tar,GW190630_185205.tar,
29,GW190701_203306,GWTC-2,https://dcc.ligo.org/public/0169/P2000223/007/GW190701_203306.tar,GW190701_203306.tar,
