,Event,Catalog,Detector_short,Detector,Data_source,Sample_rate,Duration,Time_start,Url
0,GW150914,GWTC-1-confident,H,H1,GWOSC,16384.0,32.0,1126259447.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW150914/v3/H-H1_GWOSC_16KHZ_R1-1126259447-32.hdf5
1,GW150914,GWTC-1-confident,H,H1,GWOSC,16384.0,4096.0,1126257415.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW150914/v3/H-H1_GWOSC_16KHZ_R1-1126257415-4096.hdf5
2,GW150914,GWTC-1-confident,L,L1,GWOSC,16384.0,32.0,1126259447.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW150914/v3/L-L1_GWOSC_16KHZ_R1-1126259447-32.hdf5
3,GW150914,GWTC-1-confident,L,L1,GWOSC,16384.0,4096.0,1126257415.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW150914/v3/L-L1_GWOSC_16KHZ_R1-1126257415-4096.hdf5
4,GW151012,GWTC-1-confident,H,H1,GWOSC,16384.0,32.0,1128678885.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW151012/v3/H-H1_GWOSC_16KHZ_R1-1128678885-32.hdf5
5,GW151012,GWTC-1-confident,H,H1,GWOSC,16384.0,4096.0,1128676853.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW151012/v3/H-H1_GWOSC_16KHZ_R1-1128676853-4096.hdf5
6,GW151012,GWTC-1-confident,L,L1,GWOSC,16384.0,32.0,1128678885.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW151012/v3/L-L1_GWOSC_16KHZ_R1-1128678885-32.hdf5
7,GW151012,GWTC-1-confident,L,L1,GWOSC,16384.0,4096.0,1128676853.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW151012/v3/L-L1_GWOSC_16KHZ_R1-1128676853-4096.hdf5
8,GW151226,GWTC-1-confident,H,H1,GWOSC,16384.0,32.0,1135136335.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW151226/v2/H-H1_GWOSC_16KHZ_R1-1135136335-32.hdf5
9,GW151226,GWTC-1-confident,H,H1,GWOSC,16384.0,4096.0,1135134303.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW151226/v2/H-H1_GWOSC_16KHZ_R1-1135134303-4096.hdf5
10,GW151226,GWTC-1-confident,L,L1,GWOSC,16384.0,32.0,1135136335.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW151226/v2/L-L1_GWOSC_16KHZ_R1-1135136335-32.hdf5
11,GW151226,GWTC-1-confident,L,L1,GWOSC,16384.0,4096.0,1135134303.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW151226/v2/L-L1_GWOSC_16KHZ_R1-1135134303-4096.hdf5
12,GW170104,GWTC-1-confident,H,H1,GWOSC,16384.0,32.0,1167559921.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170104/v2/H-H1_GWOSC_16KHZ_R1-1167559921-32.hdf5
13,GW170104,GWTC-1-confident,H,H1,GWOSC,16384.0,4096.0,1167557889.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170104/v2/H-H1_GWOSC_16KHZ_R1-1167557889-4096.hdf5
14,GW170104,GWTC-1-confident,L,L1,GWOSC,16384.0,32.0,1167559921.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170104/v2/L-L1_GWOSC_16KHZ_R1-1167559921-32.hdf5
15,GW170104,GWTC-1-confident,L,L1,GWOSC,16384.0,4096.0,1167557889.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170104/v2/L-L1_GWOSC_16KHZ_R1-1167557889-4096.hdf5
16,GW170608,GWTC-1-confident,H,H1,GWOSC,16384.0,32.0,1180922479.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170608/v3/H-H1_GWOSC_16KHZ_R1-1180922479-32.hdf5
17,GW170608,GWTC-1-confident,H,H1,GWOSC,16384.0,4096.0,1180920447.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170608/v3/H-H1_GWOSC_16KHZ_R1-1180920447-4096.hdf5
18,GW170608,GWTC-1-confident,L,L1,GWOSC,16384.0,32.0,1180922479.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170608/v3/L-L1_GWOSC_16KHZ_R1-1180922479-32.hdf5
19,GW170608,GWTC-1-confident,L,L1,GWOSC,16384.0,4096.0,1180920447.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170608/v3/L-L1_GWOSC_16KHZ_R1-1180920447-4096.hdf5
20,GW170729,GWTC-1-confident,H,H1,GWOSC,16384.0,32.0,1185389792.0,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170729/v1/H-H1_GWOSC_16KHZ_R1-1185389792-32.hdf5
